Degree,Category,Suitable_Jobs,Key_Skills,Companies_To_Apply,Vibe,Roadmap
Computer Science,engineering_tech,Software Engineer; Backend Developer; ML Engineer; DevOps Engineer; Site Reliability Engineer,Data Structures; System Design; Python/Java; Cloud (AWS/GCP); Git,Google; Microsoft; Amazon; Atlassian; Stripe,🖥️ The Architect,Ship one solid GitHub project|Earn an AWS or GCP associate cert|Practice DSA on LeetCode 3x/week
Software Engineering,engineering_tech,Full-Stack Developer; Mobile App Developer; Software Architect; QA Automation Engineer,JavaScript/TypeScript; APIs; Testing; CI/CD; Agile,Meta; Shopify; Spotify; Adobe; Salesforce,🧩 The Builder,Build a full-stack app end-to-end|Contribute to an open-source repo|Learn CI/CD pipelines with GitHub Actions
Information Technology,engineering_tech,IT Support Specialist; Systems Administrator; Network Engineer; Cloud Support Associate,Networking; Linux; Troubleshooting; ITIL; Security Basics,IBM; Cisco; Dell; Accenture; TCS,🔧 The Fixer,Get CompTIA Network+ certified|Set up a home lab with virtual machines|Learn basic scripting in Bash/Python
Electrical Engineering,engineering_tech,Electrical Design Engineer; Embedded Systems Engineer; Power Systems Analyst; Robotics Engineer,Circuit Design; MATLAB; Embedded C; Signal Processing,Siemens; Bosch; Tesla; GE; Texas Instruments,⚡ The Signal Whisperer,Build a microcontroller side project|Get certified in MATLAB/Simulink|Join a robotics or IEEE student chapter
Mechanical Engineering,engineering_tech,Design Engineer; Product Development Engineer; HVAC Engineer; Manufacturing Engineer,CAD (SolidWorks/AutoCAD); Thermodynamics; GD&T; Six Sigma,Tesla; Boeing; General Motors; Caterpillar; L&T,⚙️ The Mechanist,Master a CAD tool with a real project|Earn a Six Sigma Yellow/Green Belt|Intern on a manufacturing floor
Data Science,engineering_tech,Data Scientist; Data Analyst; ML Engineer; BI Analyst,Python/R; SQL; Statistics; Machine Learning; Visualization,Netflix; Amazon; Uber; Meta; NVIDIA,📊 The Pattern Hunter,Complete an end-to-end Kaggle project|Learn SQL deeply plus one BI tool|Build a portfolio on GitHub + a blog
Civil Engineering,engineering_tech,Site Engineer; Structural Engineer; Urban Planner; Construction Project Manager,AutoCAD; Structural Analysis; Project Management; Surveying,L&T; Bechtel; AECOM; Shapoorji Pallonji; Skanska,🏗️ The Foundation Layer,Get hands-on with AutoCAD/Revit|Shadow a site engineer for real exposure|Pursue a PMP or PE licensure path
Cybersecurity,engineering_tech,Security Analyst; Penetration Tester; SOC Analyst; Cloud Security Engineer,Networking; Ethical Hacking; SIEM Tools; Risk Assessment,CrowdStrike; Palo Alto Networks; Cisco; Deloitte; IBM,🛡️ The Gatekeeper,Get a Security+ or CEH certification|Practice on TryHackMe or HackTheBox|Build a home SOC/lab environment
MBA,business_management,Business Consultant; Product Manager; Operations Manager; Marketing Manager; Entrepreneur,Leadership; Strategy; Analytics; Communication; Negotiation,McKinsey & Company; Bain & Company; BCG; Amazon; Goldman Sachs,📈 The Strategist,Lead a real cross-functional project|Build a case-study portfolio|Network at industry meetups and alumni events
Business Administration,business_management,Business Analyst; Operations Associate; HR Manager; Sales Manager,Excel/Analytics; Communication; Project Management; CRM Tools,Deloitte; EY; Procter & Gamble; Unilever; Accenture,💼 The Operator,Get a project management certification (CAPM)|Master Excel and one BI tool|Take on an internship in operations or HR
